City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Ust-Kuyga,RU,2021-02-25 18:21:18,70.0167,135.6,-33.21,96,10,4.21
159,Kahului,US,2021-02-25 18:19:10,20.8947,-156.47,69.8,64,20,10.36
160,Gimli,CA,2021-02-25 18:21:18,50.6336,-96.9907,24.8,74,1,11.5
161,Krk,HR,2021-02-25 18:21:19,45.0258,14.5731,55.4,50,0,2.3
162,Mikhaylovka,RU,2021-02-25 18:21:19,50.06,43.2379,24.01,90,100,8.01
163,Ponta Do Sol,PT,2021-02-25 18:21:20,32.6667,-17.1,59.0,48,0,5.99
164,Bella Vista,US,2021-02-25 18:21:20,36.4295,-94.2316,50.0,49,1,11.5
165,Pangoa,PE,2021-02-25 18:21:20,-12.1167,-73.0,88.83,49,72,5.12
166,Port Blair,IN,2021-02-25 18:21:21,11.6667,92.75,77.02,72,28,5.46
167,Batesville,US,2021-02-25 18:20:09,35.7698,-91.641,51.8,40,1,8.05
168,Takoradi,GH,2021-02-25 18:21:21,4.8845,-1.7554,81.95,78,47,11.77
169,Saint George,US,2021-02-25 18:16:02,37.1041,-113.5841,46.99,26,1,8.05
170,Jalu,LY,2021-02-25 18:19:25,29.0331,21.5482,61.41,37,0,7.34
171,Gushikawa,JP,2021-02-25 18:19:52,26.3544,127.8686,69.8,88,90,10.36
172,Maceio,BR,2021-02-25 18:21:22,-9.6658,-35.7353,86.0,62,20,17.27
173,Honningsvag,NO,2021-02-25 18:21:22,70.9821,25.9704,39.2,81,75,13.8
174,Norman Wells,CA,2021-02-25 18:19:16,65.282,-126.8329,-20.2,69,75,9.22
175,Xinzhou,CN,2021-02-25 18:21:23,38.4092,112.7333,35.98,75,71,1.81
176,Lompoc,US,2021-02-25 18:18:28,34.6391,-120.4579,64.0,33,1,2.37
177,Gat,IL,2021-02-25 18:21:23,31.61,34.7642,60.01,100,6,5.06
178,Petropavlovsk-Kamchatskiy,RU,2021-02-25 18:21:24,53.0452,158.6483,10.4,85,90,6.71
179,Damavand,IR,2021-02-25 18:21:24,35.7178,52.065,35.6,51,75,9.22
180,Fairbanks,US,2021-02-25 18:20:02,64.8378,-147.7164,6.8,85,90,1.34
181,Chuy,UY,2021-02-25 18:16:04,-33.6971,-53.4616,80.78,44,0,7.09
182,Olafsvik,IS,2021-02-25 18:19:55,64.8945,-23.7142,37.2,87,75,17.69
183,San Quintin,MX,2021-02-25 18:19:49,30.4833,-115.95,63.73,56,0,6.4
184,Kuusamo,FI,2021-02-25 18:21:25,65.9667,29.1833,33.8,93,90,10.36
185,New Norfolk,AU,2021-02-25 18:18:36,-42.7826,147.0587,54.0,71,94,1.99
186,Hirado,JP,2021-02-25 18:21:26,33.3597,129.5531,53.01,78,100,11.99
187,Ampanihy,MG,2021-02-25 18:17:13,-24.7,44.75,76.42,82,83,3.15
188,Jensen Beach,US,2021-02-25 18:17:27,27.2545,-80.2298,77.0,50,1,12.66
189,Azanka,RU,2021-02-25 18:21:26,58.0401,64.7893,-15.02,90,92,2.19
190,New Ulm,US,2021-02-25 18:21:27,44.3125,-94.4605,34.0,74,40,8.05
191,Natal,BR,2021-02-25 18:17:46,-5.795,-35.2094,87.8,62,40,14.97
192,Martapura,ID,2021-02-25 18:21:28,-3.4167,114.85,78.8,94,94,1.14
193,Jamestown,US,2021-02-25 18:18:49,42.097,-79.2353,32.0,55,1,14.97
194,Coquimbo,CL,2021-02-25 18:21:28,-29.9533,-71.3436,68.0,64,0,14.97
195,Vila Velha,BR,2021-02-25 18:15:32,-20.3297,-40.2925,86.0,74,20,10.36
196,Tarko-Sale,RU,2021-02-25 18:21:29,64.9225,77.785,-32.82,83,53,5.75
197,Lata,PT,2021-02-25 18:21:29,40.1629,-8.3327,57.99,82,99,1.99
198,Kalmar,SE,2021-02-25 18:21:30,56.6616,16.3616,53.6,76,90,9.22
199,Teseney,ER,2021-02-25 18:21:30,15.11,36.6575,71.08,48,0,13.62
200,Lamu,KE,2021-02-25 18:21:30,-2.2717,40.902,77.61,83,3,13.78
201,Levelland,US,2021-02-25 18:21:31,33.5873,-102.378,42.01,38,90,17.27
